 Манара "Маг"|<p><b>Общее значение:</b>Карта указывает на колоссальную волю и целеустремленность человека, который ради собственной выгоды, стремления и желания готов на все, в том числе и на изменение законов природы. Но вместе с тем такая нескончаемая воля содержит большой изъян. Человек в своем стремлении что-то получить перестает отдавать себе отчет в том, что от его реализованных желаний может разразиться страшная гроза.</p><p><b>Состояние:</b>Противостояние разума силам природы. Сознание и логика пытаются управлять чувствами и животными инстинктами, но как легко на этом пути перегнуть палку... И тогда долго подавляемое либидо, превратившись в опасного монстра, огненной лавой вырвется на свободу, сокрушая все на своем пути.</p><p><b>Физическое состояние:</b>Связь нельзя назвать равноправной: один из партнеров явно имеет склонность к лидерству и стремится руководить, а другой подчиняется и может вполне комфортно чувствовать себя в роли ведомого.</p><p><b>Совет:</b>Мастеру: бери ситуацию в свои руки, действуй смело и решительно. «Мы не можем ждать милости от природы». Ты знаешь, чего хочешь, и в состоянии добиться этого. Монстру: доверься партнеру — сейчас он действительно лучше знает, как надо действовать. Позволь ему руководить и экспериментировать.</p><p><b>Предупреждение:</b></p><p><b>Положительный аспект карты:</b>Перед нами волевой и целеустремленный человек. Он в состоянии достичь любой цели и выполнить любую задачу, не прибегая к посторонней помощи и не страшась сложностей. Это лидер и творец, для которого сложности – лишь повод для их преодоления.</p><p><b>Отрицательный аспект карты:</b>Колоссальная воля и стремительность не позволяют человеку видеть рамки законов, за которые он с легкостью может переступить, стремясь к своему идеалу. Он почти маниакален в своих стремлениях, и доводы «против» просто не могут быть им услышаны.</p><p><b>Развитие ситуации в положительном значении:</b>Человек сможет сделать то, чего он хочет. Он достигнет того, к чему стремится, но при этом останется один со своей целью и со своим призом, поскольку всех попутчиков, соратников и близких он растерял в пути.</p><p><b>Развитие ситуации в отрицательном значении:</b>В этом случае обстоятельства возьмут верх. Человек будет делать лишь то, что удобно и выгодно его окружению. Нет, он не совсем марионетка, поскольку вполне осознает то, что с ним происходит, но совершенно не готов к сопротивлению.</p>
 Манара "Звезда"|<p><b>Общее значение:</b>Человек по этой карте находится в спокойствии и мире. Он существует в полном согласии с собственной совестью. Обособление. Отделение себя от внешнего мира.Но у карты есть и негативное значение: по ней человек может не жить, а пребывать в грезах, в отвлеченных и несбыточных мечтах (маниловщина). Отсюда идет не только устремленность в будущее с надеждой, созерцание высших взаимосвязей и духовное развитие, но и непознаваемая тоска, меланхолия.</p><p><b>Состояние:</b>У этой персоны нет дела до того, что происходит вокруг: она не включена в процесс жизни. Так сказать, наблюдает за звездами и мечтает о высоком. Слов «сегодня и сейчас» для нее не существует. Это — почти полная противоположность погруженности в прошлое Аркана «Колесница». Результат по «Звезде» — мечтательное одиночество.</p><p><b>Физическое состояние:</b>Отсутствие сексуальных отношений. В некоторых случаях можно говорить о нетрадиционной сексуальной ориентации.</p><p><b>Совет:</b>Сохраняй внешнюю невозмутимость. Верь своей Звезде, у тебя высокое предназначение. В данной ситуации оставайся отстраненным наблюдателем.</p><p><b>Предупреждение:</b>Не слишком ли ты холодна и безучастна к жизни и к своему партнеру? Не пора ли опуститься с небес на землю? Может быть, у тебя и высокие цели, но реальная жизнь все же существует.</p><p><b>Положительный аспект карты:</b>Человек искренне стремится достичь поставленных целей. Он хочет получить от жизни что-то такое, что доставит ему радость и наслаждение.</p><p><b>Отрицательный аспект карты:</b>Человек в погоне за своей мечтой забудет о тех, кто находится рядом с ним. Он перестанет быть частью своего круга. Может быть, на какое-то время, а может, и навсегда.</p><p><b>Развитие ситуации в положительном значении:</b>Это отдых и наслаждение, которые ожидают человека впереди. А еще награда в виде достигнутой цели, поскольку то, к чему он шел, осуществилось.</p><p><b>Развитие ситуации в отрицательном значении:</b></p>
 Манара "Солнце"|<p><b>Общее значение:</b>Стремление жить и наслаждаться жизнью – вот основной девиз поведения человека, который изображен на этой карте. Для него есть только небо, его мечты, и чувство полета – их реальное воплощение. Все, чего он хочет, ему удается. И все, к чему он стремится, у него получается. Им правит колоссальная сила любви и свободы.</p><p><b>Состояние:</b>Влюбленность, полет на крыльях любви. Открытость всему миру. Необыкновенная восприимчивость. Когда человек влюблен, он соприкасается со сверхчеловеческим уровнем бытия. Но такая напряженная энергия не может не вырваться наружу, оказывая воздействие на весь окружающий мир. Влюбленность — это удел богов и богинь, она существует вне времени и пространства. К сожалению, она быстро проходит... И в этой быстротечности — тень грусти.</p><p><b>Физическое состояние:</b>Легкость в душе, полеты во сне, стремление ввысь. Человек возвышается настолько, что прикасается к сверхчеловеческим уровням бытия, к божественной любви. Подъем, экзальтация всех внутренних ресурсов человека.</p><p><b>Совет:</b>Реализуйте свое Божественное начало. Поднимитесь над обыденностью, ощутите радость полета. Раскройте свой потенциал, радуйтесь жизни.</p><p><b>Предупреждение:</b>Смотрите, чтобы солнце не опалило ваши крылья. Не слишком ли Вы гонитесь за счастьем и успехом? Вы еще не готовы к принятию энергии Солнца, она может вас разрушить.</p><p><b>Положительный аспект карты:</b>Человек живет полной жизнью, беря все то, что может и хочет. Он наслаждается каждым прожитым мгновением, не превращая его в рутину или каторгу.</p><p><b>Отрицательный аспект карты:</b>За достигнутым состоянием счастья и покоя человек может забыть о вполне естественных опасностях, которые могут его подстерегать. Невнимательность и расслабленность могут сыграть с ним злую шутку.</p><p><b>Развитие ситуации в положительном значении:</b>Тенденция проста – человек продолжает жить, и то, что он делает, приносит ему радость. Его планы реалистичны, а дела ему по силам. Каждый новый день говорит ему о том, что он любим судьбой.</p><p><b>Развитие ситуации в отрицательном значении:</b>Человек настолько зациклен в своем мирке и живет такими простыми понятиями, что они, даже воплотившись в реальности, не вызывают у него удовлетворения. Состояние затяжного пессимизма приводит к тому, что и дела у него начинают идти неважно.</p>
 Манара "Верховная жрица"|<p><b>Общее значение:</b> Попытка осознания себя. Заманчивая, соблазнительная неизвестность. Ситуация, когда что-то происходит впервые. Человек не знает своей истинной сущности и не позволяет ей раскрываться, оправдывая свои ограничения долгом, обязанностями, приличиями. Следование социальным нормам, выбранной или навязанной роли, подавление желаний, возникающие из-за этого дисгармония и противоречия.В некоторых случаях карта указывает на наличие тайны, предупреждает о возможных подводных камнях и течениях... Есть вероятность тайной связи, наличия любовника или любовницы.</p><p><b>Состояние:</b>Конфликт между неосознанными внутренними желаниями и общественными нормами морали. Подсознательный запрет любви. Страх познать себя, узнать свое тело.</p><p><b>Физическое состояние:</b>Девственность, целомудрие, отсутствие сексуального опыта. В отношениях — большие проблемы, вызванные внутренними запретами.</p><p><b>Совет:</b>Развивай свою интуицию. Женское начало — самое важное и ценное в тебе. Однако не открывайся окружающему миру со всей непосредственностью. Оставайся вечной тайной, загадкой. Блюди свою честь.</p><p><b>Предупреждение:</b>Не хоронишь ли ты себя под строгими одеждами приличий?</p><p><b>Положительный аспект карты:</b>Высокий моральный облик и воля человека, который описан данной картой, говорят нам о весьма надежном партнере. Он готов бороться с собой и со своими внутренними порывами, лишь бы не преступить тех норм, которые он сам себе определил.</p><p><b>Отрицательный аспект карты:</b>Отрицательной стороной такого поведения является то, что человек идет против своей воли и против природы, забивая и заглушая внутренний голос. Или такой серьезный внутренний конфликт рано или поздно выливается в тяжелое заболевание, или сила желания, прорвав плотину ограничений, устремляется в мир, где она будет властвовать без разбора.</p><p><b>Развитие ситуации в положительном значении:</b>Перспективы развития такой ситуации весьма призрачны, поскольку у человека есть два мнения и два стремления, и только дальнейший ход жизни сможет окончательно сказать, порвет ли человек путы запретов или и дальше будет ждать своего часа, смирившись с участью.</p><p><b>Развитие ситуации в отрицательном значении:</b>Тенденции, на которые указывает карта, таковы, что человеку недолго и до преступления. Он становится опасен как для себя, так и для других людей. В конце концов его может ждать изоляция – от больничной койки до тюрьмы.</p>
 Манара "Умеренность"|<p><b>Общее значение:</b>Успех принесет выжидание, терпеливость и сдержанность. Существующие ресурсы надо использовать экономно и искать правильную меру. Чтобы появились результаты, требуется время.Карта очень спокойная и статичная. Развития ситуации по ней не происходит. Каждый получает то, что хочет: женщина — власть и возможность заботиться, а мужчина — покой, комфорт и шанс «прильнуть к материнской груди». Как монотонно раскачиваются качели, так и ситуация переливается из пустого в порожнее. Процесс изменений и внутренней трансформации начат, но первые плоды его появятся еще не скоро.</p><p><b>Состояние:</b>Здесь основное состояние — наслаждение жизненной ситуацией, удовольствие от свободы в мелочах. Возможно, ненакладная благотворительность.</p><p><b>Физическое состояние:</b>Вместо любви и страсти — привычка, удобство и комфорт. Частный случай: в раскладе для мужчины при описании идеальной или желаемой женщины карта скажет о тяге к женщинам с большим бюстом.</p><p><b>Совет:</b>Не торопись, повремени, умей выждать, позволь процессу идти своим чередом. На твои малые нужды всегда найдется та или тот, кто их с легкостью для себя удовлетворит. Не просите многого, а необходимое вам предложат или дадут. Не торопись взрослеть, используй свое положение.</p><p><b>Предупреждение:</b>Ты слишком тянешь с принятием решения. Есть опасность разнежиться — и отношения остановятся в развитии.</p><p><b>Положительный аспект карты:</b>В вашей жизни наступила долгожданная передышка. Это не застой, не пауза в делах, а заслуженный отдых, которым надо просто наслаждаться.</p><p><b>Отрицательный аспект карты:</b>Человек не готов принять предложение отдохнуть и насладиться окружающим миром. Он, в запале и стремлении все успеть, не видит, что жизнь состоит не только из работы, но и из отдыха и получения удовольствия от простых вещей.</p><p><b>Развитие ситуации в положительном значении:</b>Отдых, приятное времяпрепровождение, наполненное интересными событиями и встречами. И лучше полностью окунуться в этот отдых, поскольку он заслужен и в какой-то степени закономерен.</p><p><b>Развитие ситуации в отрицательном значении:</b>Неприятие человеком естественного хода событий приведет к тому, что его нервы не выдержат накала ситуации и он заработает болезнь, на которую придется тратить время и силы.</p>
 Манара "Смерть"|<p><b>Общее значение:</b>Изучаемый вопрос пришел к своему логическому завершению или трансформируется во что-то новое. Внезапные изменения, вызванные смертью, несчастьем или болезнью. Необходимость отпустить прошлое и постараться начать новую жизнь. Трансформация и новое начало. Создание пути для неизвестного. За смертью неизбежно следуют возрождение и обновление. Иногда может символизировать и физическую смерть, однако подобное заключение требует осторожности и дополнительной проверки. Это может быть скрытая, психологическая смерть, которая приводит к кризису, депрессии или даже к серьезной болезни («пропало желание жить»).</p><p><b>Состояние:</b></p><p><b>Физическое состояние:</b>Экстремальный секс. Невозможность контролировать свои чувства и желания. Да и сама ситуация не поддается контролю. В некоторых случаях может предупреждать о травме или хирургической операции.</p><p><b>Совет:</b>Усугуби ситуацию, доведи ее до кризиса, до абсурда.</p><p><b>Предупреждение:</b>Осторожнее! Ты играешь в опасные игры!</p><p><b>Положительный аспект карты:</b>Положительным является то, что наступил финал, конец, предел тому, что происходило в жизни. Это не трагедия, хотя это можно расценить и так. Естественный ход событий, который стоит принять, чтобы жизнь продолжила свое течение, сменив смерть на своем посту.</p><p><b>Отрицательный аспект карты:</b>Человека переполняют эмоции, и он не в состоянии рассмотреть, что же на самом деле происходит с ним и с его жизнью. Он стремится лишь к тому, что способны увидеть эмоции, но не душа. А ведь только она может отличить «мертвые» человеческие маски от настоящих человеческих лиц.</p><p><b>Развитие ситуации в положительном значении:</b>Начало нового жизненного этапа. Но не стоит ждать его наступления в одночасье. Оно придет постепенно и неминуемо, как солнце, которое медленно встает из-за горизонта.</p><p><b>Развитие ситуации в отрицательном значении:</b>Если человек не примет естественного хода вещей и будет всячески вмешиваться в них и сопротивляться, то это приведет к тому, что его, как ненужную помеху, просто уберут.</p>
 Манара "Отшельник"|<p><b>Общее значение:</b>Эта карта говорит о вынужденной изоляции, отвержении и озлобленности на окружающий мир. Жизнь в забвении или враждебном окружении. Деградация, неудовлетворенность, тяжелое одиночество. Может быть, это ребенок, которого не любили в детстве? И теперь он мстит всему миру, не понимая, что так он не обретет любви, а еще глубже загонит себя в одиночество.</p><p><b>Состояние:</b>Злой пессимизм. Неспособность наслаждаться человеческим обществом. Безвыходная ситуация. Обреченность на одиночество; настрой на то, что тебя никто не поймет. Зависимость от собственных комплексов. Но это не то состояние, когда хочется плакать от неразделенных чувств, — скорее на первый план выходит желание «наказать» партнера: «мне плохо, но вам должно быть еще хуже».</p><p><b>Физическое состояние:</b>Сексуальные проблемы. Серьезные комплексы и зажимы. Отверженность и чувство собственной неполноценности, сексуальная неудовлетворенность, которые и являются причиной озлобленности и агрессивности. Аскетический стиль жизни.</p><p><b>Совет:</b>Побудьте в одиночестве, поразмышляй. Не порть жизнь другим.</p><p><b>Предупреждение:</b>Не слишком ли Вы замкнулись на себе? Не превращаетесь ли в оборотня, виня в своих промахах и неудачах всех, кроме себя? Может, причина ошибок в вас?</p><p><b>Положительный аспект карты:</b>Сложно найти положительные черты в этой карте, поскольку такой конфликт с миром, какой она нам демонстрирует, не является положительным. Лишь тогда забрезжит свет, когда человек начнет задумываться о причинах того, что происходит в его душе.</p><p><b>Отрицательный аспект карты:</b>Отрицательное здесь видно невооруженным глазом. Человек противится миру и не готов воспринимать все то, что в нем творится. Он очень хочет принять мир, но злоба и отчаяние лишь отдаляют его.</p><p><b>Развитие ситуации в положительном значении:</b>Карта указывает на то, что человека ожидает жесточайшая депрессия, из которой ему самостоятельно не выбраться. Ему нужны рука помощи и поддержка, чтобы научить вновь радоваться жизни и любить мир.</p><p><b>Развитие ситуации в отрицательном значении:</b>Отрицательного значения у этой карты нет, поскольку оно, как мы видим, переместилось в область положительного. А в этом случае можно сказать лишь то, что человеку ничего не грозит. Все, что ему нужно, он сможет добиться, воспользовавшись подсказкой друзей.</p>
 Манара "Король огня"|<p><b>Общее значение:</b>Полнота и радость бытия. Праздник. Момент мужской инициации. Единение с Миром, Природой.Также эта карта символизирует сильного мужчину, настоящую личность. Он умеет своими красивыми ухаживаниями вскружить голову любой женщине. Король Огня уверен в себе и своей мужской силе, темпераментен, любит жизнь во всех проявлениях. Он легко становится «душой компании». Королю Огня важно быть в центре внимания, чувствовать на себе восхищенные взгляды женщин. </p><p><b>Состояние:</b>Желание красивой любви. Готовность проявить лучшие мужские качества. Мечта видеть себя героем. Желание быть хозяином жизни. Тяготение к обладанию, власти. Решительность. Уверенность в себе.</p><p><b>Физическое состояние:</b>Полнота сил, физическая красота и бездна обаяния.</p><p><b>Совет:</b>Делайте все красиво: встречайтесь красиво и расставайтесь красиво.</p><p><b>Предупреждение:</b>Карта может предостерегать от некоторой жестокости в отношениях: Вы увлечены собой настолько, что можете причинить боль и не заметить этого. Для женщины — вам с этим человеком на многое придется закрывать глаза, в том числе на его сиюминутные увлечения и слабость к женскому полу вообще.</p><p><b>Положительный аспект карты:</b>Мужчина, который верен своему слову и готов взять на себя ответственность за происходящее. Его воля и решительность, вкупе со звериной красотой, не могут оставить никого равнодушными.</p><p><b>Отрицательный аспект карты:</b>Природная грубость и неотесанность, как известно, присущи знакам Огня. Человек может не хотеть обидеть другого, но такой у него характер – прямой и независимый, который способен на всякие сюрпризы.</p><p><b>Развитие ситуации в положительном значении:</b>От такого человека можно ожидать только одной тенденции развития – вперед, и только вперед, на удовлетворение своих желаний и потребностей.</p><p><b>Развитие ситуации в отрицательном значении:</b>Назревает конфликт, который намеренно или не намеренно спровоцировал Король Огня. Он идет вперед, расталкивая всех, и посему недовольные и обиженные начинают роптать.</p>
 Манара "Зеркало"|<p><b>Общее значение:</b>Философия наслаждения, когда целью жизни и высшим благом признается блаженство. Непрерывное самопознание. Эгоцентризм. Помните, как в сказке Пушкина: «Я ль на свете всех милее.:.»? Неотразимость личности. Красота и уверенность в собственной неотразимости. Стремление быть в центре, привлекать внимание.</p><p><b>Состояние:</b>Нарциссизм, самолюбование. Основное внимание уделяется собственной персоне. В окружении негативных карт — потеря себя: «где я, а где мое отражение?» Не видеть, не замечать окружающий мир, за исключением маленького кусочка интерьера, отраженного в зеркале. Воспринимать окружение как фон к собственной личности.</p><p><b>Физическое состояние:</b> Сосредоточенность на себе, причем акцент ставится на своей внешности. Эгоистический секс.</p><p><b>Совет:</b>Ищите новые места и новые возможности для самораскрытия. Что имеете - приумножайте. Используйте положительные моменты, доверьтесь судьбе. Хотя Вы вполне самодостаточны — вашу красоту должен кто-то оценить, поэтому не замыкайтесь на себе.</p><p><b>Предупреждение:</b>Возможна потеря реального «я». Видите ли Вы кого-нибудь, кроме себя? Кто Вы есть? Потеря ориентации в чувствах.</p><p><b>Положительный аспект карты:</b>Положительным проявлением ситуации является то, что человек получает удовлетворение от самого себя. Он сам себе нравится и не испытывает чувства неудобства или стыда, рассматривая себя в зеркале. Он красив и привлекателен, и он понимает это.</p><p><b>Отрицательный аспект карты:</b>Отрицательным моментом такого поведения является то, что человек начинает рассматривать тех, кто рядом с ним, через призму внешнего впечатления. И вот уже вместо людей с разными характерами и взглядами появляются красивые и некрасивые, привлекательные и непривлекательные, что серьезно ограничивает кругозор.</p><p><b>Развитие ситуации в положительном значении:</b>Человек с таким настроем и отношением к жизни сможет достаточно легко переживать сложности и проблемы, которые его могут подстерегать. Ведь самый главный его интерес – он сам.</p><p><b>Развитие ситуации в отрицательном значении:</b>Отрицательное развитие ситуации – изоляция человека от привычного круга общения. От него мало-помалу начнут отворачиваться люди. И это в конце концов может привести к тому, что человек вынужден будет опуститься в более низкий социальный слой, где он не вызовет подобного к себе отношения, где все будут такими, как он.</p>
 Манара "Наказание"|<p><b>Общее значение:</b> Исполнение долга и отказ от чего-то сознательно или в силу необходимости. Мучительный и болезненный путь, который никогда не бывает легким. «Предоплата» — вынужденная сознательная жертва, которую необходимо принести для достижения желаемого. Принимаемое наказание, желаемые потеря или страдания, отказ от чего-либо, прекращение действия. Мстительность. Урок.</p><p><b>Состояние:</b>Страдание. Причем состояние мучительно для обоих партнеров. Человек, находящийся в состоянии этой карты, проходит через болезненное испытание.</p><p><b>Физическое состояние:</b> Разные формы садомазохизма. Имейте в виду, что эта карта иногда действительно может показывать на склонность к извращенным формам секса.</p><p><b>Совет:</b>Пожертвуйте собственным эгоизмом, личными интересами. Необходимо пройти через страдания. Или добавить остроты во взаимоотношения, чтобы чувства не увяли. Ведь отношения никогда не стоят на месте, они всегда развиваются — либо в лучшую, либо в худшую сторону. Однако, проходя через страдания, оставайтесь собой.</p><p><b>Предупреждение:</b>Надо ли так жертвовать собой, стоит ли игра свеч? Не превращаются ли ваши страдания в унижение, разрушающее личность? Эту грань нельзя переступать.</p><p><b>Положительный аспект карты:</b>Готовность сносить удары судьбы, из чьих бы рук они ни сыпались, – вот основное положительное значение. Это не столько покорность, сколько понимание того, что за все надо платить. В том числе и за ошибки, и за удовольствие.</p><p><b>Отрицательный аспект карты:</b>Человек покорно сносит наказание. И не в том дело, заслуживает он его или нет, а в том, что даже не пытается что-то изменить, проявить один из ключевых инстинктов – инстинкт самосохранения.</p><p><b>Развитие ситуации в положительном значении:</b>Человек, претерпев удары судьбы и понеся заслуженное наказание, продолжит свой путь с чистой душой и полным спокойствием, поскольку он никому ничего не должен.</p><p><b>Развитие ситуации в отрицательном значении:</b>Человек, избегая заслуженного наказания, только усугубляет свое положение, накапливая груз вины, который он должен вынести. И рано или поздно этот груз накроет его с головой, заставив расплатиться за все, что он сотворил в этой жизни.</p>
