 "Клевер" (Шестерка бубен)|<p><b>Общее значение:</b>Счастье, надежда, ожидание.Положительная карта, обозначающая оправданные надежды, прекращение трудностей, удача во всех начинаниях и всех сферах жизни. Также, если эта карта находится возле карты вопрошающего обозначает, что его заветная мечта сбудется.В сочетании с неблагоприятными картами - имеет обратное значение.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Дом" (Король червей)|<p><b>Общее значение:</b>Может обозначать жилище, дом, любое здание, символ уюта и покоя, уверенности в собственных силах, собственное дело.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Дерево" (Семерка червей)|<p><b>Общее значение:</b>Здоровье. Жизненные силы, возможности. Здоровье, внутренние ресурсы и потенция. Эта карта изображает дерево жизни — символ здоровья, радости существования и тягу к самосовершенствованию. Ваша зрелость, мудрость жизни, благоразумие позволяют вам твердо и устойчиво стоять на земле.Если в окружении неблагоприятные карты, карта Дерево может давать совет избегать перегрузок, стрессов и предпринять меры для оздоровления организма.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Корабль" (Десятка пик)|<p><b>Общее значение:</b>Всевозможные поездки, путешествия, перемещения.Появлении карты Корабль в раскладе предвещает перемены, борьба с сложившимися устаревшими устоями, движение вперед.Окончательное значение эта карта приобретает в сочетании с близлежащими картами. В сочетании с негативными картами (Гроб, Гора, Крест, Тучи), может означать приближающееся несчастье.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Рыбы" (Король бубен)|<p><b>Общее значение:</b>Улов. Богатство. Благосостояние. Заслуженная награда. Карта Рыбы является символом удачи, преуспевания, достатка, богатства, как в физическом, так и в духовном смысле. Успех во всех предприятиях, удачное завершение начатых дел. Если вы используете предоставленные возможности, то надежды и планы сбудутся, вы получите награду, все, чего желали и даже больше. Рыба символ воды, жизни, плодородия, здоровья, богатства, материальных благ. Рядом с плохими картами предупреждает, что ваши планы утопичны, или вы доверились не тем людям.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Гора" (Восьмерка треф)|<p><b>Общее значение:</b>Препятствие. Бремя. Вызов. Карта Гора символизирует препятствие на пути к цели. Это могут быть люди или обстоятельства, мешающие добиться желаемого. Нужно немного подождать или принять вызов, который посылает нам судьба, и попытаться обойти препятствие. Необходимо тщательно продумать каждый свой шаг, вы имеете возможность преодолеть препятствие и одержать победу над неблагоприятными обстоятельствами. Но не будьте излишне самоуверенны, есть риск сорваться.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Кольцо" (Туз треф)|<p><b>Общее значение:</b>Брак. Соглашение. Преданность. Доверие и взаимная симпатия. Ответственные, серьезные отношения, в которых необходимо будет принять на себя какие-либо обязательства. Кольцо это символ творческого начала, дающего смысл всему окружению. Символ мира, солнца, надежды и счастья, вечности, веры и принадлежности к какому-то обществу. Рядом с Книгой — тайное дело или союз, рядом с картой Солнце — очень счастливый брак.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Солнце" (Туз бубен)|<p><b>Общее значение:</b>Удача. Счастье. Судьба. Решение проблем. Позитивный исход. Карта Солнце символизирует принцип стабильности, источник индивидуального действия, энергию жизни и высших сил мироздания. Период удач, исполнения желаний, удовлетворения и хорошего самочувствия. Может также означать помощь, которую вам окажут, здоровье и оптимизм. Одна из лучших карт. Рядом с неблагоприятными картами смягчает их негативное значение и говорит, что удача или помощь придет, но позже.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Тучи" (Король треф)|<p><b>Общее значение:</b>Надвигающиеся неприятности. Кризис. Тучи символизируют временные препятствия и задержки. Сумрачные мысли, сомнения, слабости, недомогания, тяжелое время. Накаленная обстановка и предчувствие грозы, когда достаточно мельчайшего повода (искры), чтобы разразилась буря, ссора или скандал. Вместе с тем, дождь смывает всю грязь. Грядущие события помогут смыть все лишнее, наносное и неестественное и начать новый этап в своей жизни. Тучи имеют светлую и темную стороны. Это делает их символом психического непостоянства. Свое неблагоприятное влияние Тучи распространяют на карту, соседствующую с их темной стороной. Если светлая сторона туч повернута к карте спрашивающего, это хорошее предзнаменование.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
 "Башня" (Шестерка пик)|<p><b>Общее значение:</b>Итог. Цель в жизни. Жизненный путь. Пуп земли. Маяк спасения. Карта Башня символизирует результат какого-то дела, долголетнего труда или даже всей жизни. Символ стабильности, прочности, устойчивости достигнутого положения и подлинного счастья. Изолированное от мира сего место, Башня символизирует твердыню духа, философскую мысль. Эта карта в целом предсказывает крепкое здоровье, долголетие и счастье. В окружении неблагоприятных карт имеет обратное значение, отсутствие устойчивой почвы под ногами, неудачное завершение дел, болезнь и недостаток сил.</p><p><b>Состояние:</b>undefined</p><p><b>Физическое состояние:</b>undefined</p><p><b>Совет:</b></p><p><b>Предупреждение:</b>undefined</p><p><b>Положительный аспект карты:</b>undefined</p><p><b>Отрицательный аспект карты:</b>undefined</p><p><b>Развитие ситуации в положительном значении:</b>undefined</p><p><b>Развитие ситуации в отрицательном значении:</b>undefined</p>
